Request id,Pickup point,Driver id,Status,Request timestamp,Drop timestamp,Request_Date,Request_Hour,Request_Day,Ride_Duration_Minutes,Time_Slot,Ride_Category
4075,City,4,Trip Completed,2016-07-14 02:17:35,2016-07-14 03:21:38,2016-07-14,2,Thursday,64.05,Late Night,Long Ride
4686,City,4,Trip Completed,2016-07-14 13:01:10,2016-07-14 13:45:28,2016-07-14,13,Thursday,44.3,Afternoon,Short Ride
5771,Airport,4,Trip Completed,2016-07-15 08:30:06,2016-07-15 09:37:20,2016-07-15,8,Friday,67.23333333333333,Morning,Long Ride
6106,Airport,4,Trip Completed,2016-07-15 15:01:20,2016-07-15 15:47:31,2016-07-15,15,Friday,46.18333333333333,Afternoon,Average Ride
312,City,5,Trip Completed,2016-07-11 07:27:00,2016-07-11 08:31:00,2016-07-11,7,Monday,64.0,Morning,Long Ride
577,Airport,5,Trip Completed,2016-07-11 11:03:00,2016-07-11 12:01:00,2016-07-11,11,Monday,58.0,Morning,Average Ride
1179,City,5,Trip Completed,2016-07-11 20:58:00,2016-07-11 21:45:00,2016-07-11,20,Monday,47.0,Evening,Average Ride
1756,Airport,5,Trip Completed,2016-07-12 08:40:00,2016-07-12 09:23:00,2016-07-12,8,Tuesday,43.0,Morning,Short Ride
2052,City,5,Trip Completed,2016-07-12 14:48:00,2016-07-12 15:50:00,2016-07-12,14,Tuesday,62.0,Afternoon,Long Ride
2559,City,5,Trip Completed,2016-07-12 21:32:00,2016-07-12 22:29:00,2016-07-12,21,Tuesday,57.0,Night,Average Ride
3014,City,5,Trip Completed,2016-07-13 07:28:14,2016-07-13 08:29:47,2016-07-13,7,Wednesday,61.55,Morning,Long Ride
3317,City,5,Trip Completed,2016-07-13 12:14:27,2016-07-13 12:46:38,2016-07-13,12,Wednesday,32.18333333333333,Afternoon,Short Ride
4297,City,5,Trip Completed,2016-07-14 06:43:01,2016-07-14 07:49:38,2016-07-14,6,Thursday,66.61666666666666,Morning,Long Ride
5857,Airport,5,Trip Completed,2016-07-15 09:08:50,2016-07-15 10:07:07,2016-07-15,9,Friday,58.28333333333333,Morning,Average Ride
6690,Airport,5,Trip Completed,2016-07-15 22:41:41,2016-07-15 23:51:00,2016-07-15,22,Friday,69.31666666666666,Night,Long Ride
1517,Airport,6,Trip Completed,2016-07-12 05:45:00,2016-07-12 06:28:00,2016-07-12,5,Tuesday,43.0,Morning,Short Ride
1999,Airport,6,Trip Completed,2016-07-12 13:02:00,2016-07-12 13:51:00,2016-07-12,13,Tuesday,49.0,Afternoon,Average Ride
2960,Airport,6,Trip Completed,2016-07-13 06:50:33,2016-07-13 07:40:35,2016-07-13,6,Wednesday,50.03333333333333,Morning,Average Ride
3882,City,6,Trip Completed,2016-07-13 21:53:03,2016-07-13 22:45:24,2016-07-13,21,Wednesday,52.35,Night,Average Ride
4081,Airport,6,Trip Completed,2016-07-14 02:37:14,2016-07-14 03:30:27,2016-07-14,2,Thursday,53.21666666666667,Late Night,Average Ride
4740,City,6,Trip Completed,2016-07-14 14:50:07,2016-07-14 15:38:14,2016-07-14,14,Thursday,48.11666666666667,Afternoon,Average Ride
5270,City,6,Trip Completed,2016-07-14 21:33:55,2016-07-14 22:25:43,2016-07-14,21,Thursday,51.8,Night,Average Ride
6758,Airport,6,Trip Completed,2016-07-15 00:03:39,2016-07-15 01:07:39,2016-07-15,0,Friday,64.0,Late Night,Long Ride
5741,City,6,Trip Completed,2016-07-15 07:52:51,2016-07-15 08:38:55,2016-07-15,7,Friday,46.06666666666667,Morning,Average Ride
6087,Airport,6,Trip Completed,2016-07-15 14:28:50,2016-07-15 15:33:53,2016-07-15,14,Friday,65.05,Afternoon,Long Ride
1039,City,7,Trip Completed,2016-07-11 19:31:00,2016-07-11 20:41:00,2016-07-11,19,Monday,70.0,Evening,Long Ride
1273,Airport,7,Trip Completed,2016-07-11 22:07:00,2016-07-11 23:12:00,2016-07-11,22,Monday,65.0,Night,Long Ride
2480,City,7,Trip Completed,2016-07-12 20:39:00,2016-07-12 21:28:00,2016-07-12,20,Tuesday,49.0,Evening,Average Ride
4105,City,7,Trip Completed,2016-07-14 03:39:38,2016-07-14 04:39:04,2016-07-14,3,Thursday,59.43333333333333,Late Night,Average Ride
4509,City,7,Trip Completed,2016-07-14 09:11:13,2016-07-14 10:17:01,2016-07-14,9,Thursday,65.8,Morning,Long Ride
4986,Airport,7,Trip Completed,2016-07-14 18:52:32,2016-07-14 19:50:57,2016-07-14,18,Thursday,58.416666666666664,Evening,Average Ride
5898,City,7,Trip Completed,2016-07-15 09:50:28,2016-07-15 10:40:39,2016-07-15,9,Friday,50.18333333333333,Morning,Average Ride
6142,Airport,7,Trip Completed,2016-07-15 15:50:15,2016-07-15 16:36:56,2016-07-15,15,Friday,46.68333333333333,Afternoon,Average Ride
380,Airport,8,Trip Completed,2016-07-11 08:18:00,2016-07-11 09:18:00,2016-07-11,8,Monday,60.0,Morning,Long Ride
1050,Airport,8,Trip Completed,2016-07-11 19:39:00,2016-07-11 20:30:00,2016-07-11,19,Monday,51.0,Evening,Average Ride
1769,City,8,Trip Completed,2016-07-12 08:57:00,2016-07-12 09:24:00,2016-07-12,8,Tuesday,27.0,Morning,Short Ride
2520,City,8,Trip Completed,2016-07-12 21:05:00,2016-07-12 22:20:00,2016-07-12,21,Tuesday,75.0,Night,Long Ride
3265,Airport,8,Trip Completed,2016-07-13 10:22:07,2016-07-13 11:07:02,2016-07-13,10,Wednesday,44.916666666666664,Morning,Average Ride
4648,City,8,Trip Completed,2016-07-14 11:55:10,2016-07-14 12:59:34,2016-07-14,11,Thursday,64.4,Morning,Long Ride
449,Airport,9,Trip Completed,2016-07-11 09:08:00,2016-07-11 09:52:00,2016-07-11,9,Monday,44.0,Morning,Short Ride
846,Airport,9,Trip Completed,2016-07-11 17:46:00,2016-07-11 18:52:00,2016-07-11,17,Monday,66.0,Evening,Long Ride
1346,Airport,9,Trip Completed,2016-07-11 23:39:00,2016-07-12 00:23:00,2016-07-11,23,Monday,44.0,Night,Short Ride
1474,Airport,9,Trip Completed,2016-07-12 05:13:00,2016-07-12 05:56:00,2016-07-12,5,Tuesday,43.0,Morning,Short Ride
2240,City,9,Trip Completed,2016-07-12 18:20:00,2016-07-12 18:54:00,2016-07-12,18,Tuesday,34.0,Evening,Short Ride
3072,Airport,9,Trip Completed,2016-07-13 08:04:57,2016-07-13 08:36:37,2016-07-13,8,Wednesday,31.666666666666668,Morning,Short Ride
3459,Airport,9,Trip Completed,2016-07-13 17:03:30,2016-07-13 17:31:49,2016-07-13,17,Wednesday,28.316666666666666,Evening,Short Ride
3774,Airport,9,Trip Completed,2016-07-13 20:41:24,2016-07-13 21:27:29,2016-07-13,20,Wednesday,46.083333333333336,Evening,Average Ride
4023,City,9,Trip Completed,2016-07-13 23:58:41,2016-07-14 00:58:39,2016-07-13,23,Wednesday,59.96666666666667,Night,Long Ride
4117,City,9,Trip Completed,2016-07-14 04:21:42,2016-07-14 05:07:07,2016-07-14,4,Thursday,45.416666666666664,Late Night,Average Ride
4880,Airport,9,Trip Completed,2016-07-14 17:58:46,2016-07-14 19:02:42,2016-07-14,17,Thursday,63.93333333333333,Evening,Long Ride
5568,Airport,9,Trip Completed,2016-07-15 05:47:49,2016-07-15 06:25:49,2016-07-15,5,Friday,38.0,Morning,Short Ride
5994,Airport,9,Trip Completed,2016-07-15 11:51:16,2016-07-15 12:32:12,2016-07-15,11,Friday,40.93333333333333,Morning,Short Ride
1809,Airport,10,Trip Completed,2016-07-12 09:13:00,2016-07-12 10:01:00,2016-07-12,9,Tuesday,48.0,Morning,Average Ride
2064,Airport,10,Trip Completed,2016-07-12 15:08:00,2016-07-12 16:14:00,2016-07-12,15,Tuesday,66.0,Afternoon,Long Ride
3210,City,10,Trip Completed,2016-07-13 09:47:06,2016-07-13 10:52:37,2016-07-13,9,Wednesday,65.51666666666667,Morning,Long Ride
4350,City,10,Trip Completed,2016-07-14 07:24:43,2016-07-14 08:22:09,2016-07-14,7,Thursday,57.43333333333333,Morning,Average Ride
4713,City,10,Trip Completed,2016-07-14 13:31:24,2016-07-14 14:10:56,2016-07-14,13,Thursday,39.53333333333333,Afternoon,Short Ride
5629,Airport,10,Trip Completed,2016-07-15 06:33:00,2016-07-15 07:19:53,2016-07-15,6,Friday,46.88333333333333,Morning,Average Ride
6157,Airport,10,Trip Completed,2016-07-15 16:32:51,2016-07-15 17:44:44,2016-07-15,16,Friday,71.88333333333334,Afternoon,Long Ride
2030,City,11,Trip Completed,2016-07-12 14:11:00,2016-07-12 15:02:00,2016-07-12,14,Tuesday,51.0,Afternoon,Average Ride
3226,City,11,Trip Completed,2016-07-13 10:00:17,2016-07-13 11:02:52,2016-07-13,10,Wednesday,62.583333333333336,Morning,Long Ride
3353,City,11,Trip Completed,2016-07-13 13:29:44,2016-07-13 14:09:00,2016-07-13,13,Wednesday,39.266666666666666,Afternoon,Short Ride
4293,City,11,Trip Completed,2016-07-14 06:42:36,2016-07-14 07:12:41,2016-07-14,6,Thursday,30.083333333333332,Morning,Short Ride
4936,City,11,Trip Completed,2016-07-14 18:22:17,2016-07-14 19:14:36,2016-07-14,18,Thursday,52.31666666666667,Evening,Average Ride
5661,Airport,11,Trip Completed,2016-07-15 07:08:50,2016-07-15 07:59:00,2016-07-15,7,Friday,50.166666666666664,Morning,Average Ride
5778,City,11,Trip Completed,2016-07-15 08:22:03,2016-07-15 09:13:04,2016-07-15,8,Friday,51.016666666666666,Morning,Average Ride
6425,Airport,11,Trip Completed,2016-07-15 19:46:40,2016-07-15 20:26:51,2016-07-15,19,Friday,40.18333333333333,Evening,Short Ride
45,Airport,12,Trip Completed,2016-07-11 03:17:00,2016-07-11 04:09:00,2016-07-11,3,Monday,52.0,Late Night,Average Ride
264,City,12,Trip Completed,2016-07-11 06:51:00,2016-07-11 07:40:00,2016-07-11,6,Monday,49.0,Morning,Average Ride
1183,City,12,Trip Completed,2016-07-11 21:05:00,2016-07-11 21:38:00,2016-07-11,21,Monday,33.0,Night,Short Ride
1536,Airport,12,Trip Completed,2016-07-12 05:59:00,2016-07-12 06:59:00,2016-07-12,5,Tuesday,60.0,Morning,Long Ride
2437,City,12,Trip Completed,2016-07-12 20:18:00,2016-07-12 21:26:00,2016-07-12,20,Tuesday,68.0,Evening,Long Ride
2641,Airport,12,Trip Completed,2016-07-12 22:28:00,2016-07-12 23:05:00,2016-07-12,22,Tuesday,37.0,Night,Short Ride
4077,Airport,12,Trip Completed,2016-07-14 02:14:15,2016-07-14 03:13:09,2016-07-14,2,Thursday,58.9,Late Night,Average Ride
4610,City,12,Trip Completed,2016-07-14 10:35:14,2016-07-14 11:39:01,2016-07-14,10,Thursday,63.78333333333333,Morning,Long Ride
5066,Airport,12,Trip Completed,2016-07-14 19:31:20,2016-07-14 20:14:03,2016-07-14,19,Thursday,42.71666666666667,Evening,Short Ride
5666,Airport,12,Trip Completed,2016-07-15 07:04:55,2016-07-15 08:12:37,2016-07-15,7,Friday,67.7,Morning,Long Ride
5923,City,12,Trip Completed,2016-07-15 10:07:49,2016-07-15 10:50:50,2016-07-15,10,Friday,43.016666666666666,Morning,Short Ride
6367,City,12,Trip Completed,2016-07-15 19:04:46,2016-07-15 19:46:04,2016-07-15,19,Friday,41.3,Evening,Short Ride
155,City,13,Trip Completed,2016-07-11 05:32:00,2016-07-11 06:28:00,2016-07-11,5,Monday,56.0,Morning,Average Ride
310,Airport,13,Trip Completed,2016-07-11 07:24:00,2016-07-11 08:28:00,2016-07-11,7,Monday,64.0,Morning,Long Ride
607,City,13,Trip Completed,2016-07-11 11:51:00,2016-07-11 12:42:00,2016-07-11,11,Monday,51.0,Morning,Average Ride
1012,City,13,Trip Completed,2016-07-11 19:15:00,2016-07-11 19:57:00,2016-07-11,19,Monday,42.0,Evening,Short Ride
1696,Airport,13,Trip Completed,2016-07-12 08:01:00,2016-07-12 08:42:00,2016-07-12,8,Tuesday,41.0,Morning,Short Ride
3076,City,13,Trip Completed,2016-07-13 08:09:04,2016-07-13 09:12:19,2016-07-13,8,Wednesday,63.25,Morning,Long Ride
4198,Airport,13,Trip Completed,2016-07-14 05:32:14,2016-07-14 06:45:32,2016-07-14,5,Thursday,73.3,Morning,Long Ride
4627,City,13,Trip Completed,2016-07-14 11:13:19,2016-07-14 12:00:12,2016-07-14,11,Thursday,46.88333333333333,Morning,Average Ride
5289,City,13,Trip Completed,2016-07-14 21:43:24,2016-07-14 22:24:13,2016-07-14,21,Thursday,40.81666666666667,Night,Short Ride
5495,Airport,13,Trip Completed,2016-07-15 05:00:13,2016-07-15 06:02:27,2016-07-15,5,Friday,62.233333333333334,Morning,Long Ride
6656,Airport,13,Trip Completed,2016-07-15 22:08:42,2016-07-15 22:41:18,2016-07-15,22,Friday,32.6,Night,Short Ride
139,Airport,14,Trip Completed,2016-07-11 05:21:00,2016-07-11 06:09:00,2016-07-11,5,Monday,48.0,Morning,Average Ride
215,City,14,Trip Completed,2016-07-11 06:15:00,2016-07-11 07:07:00,2016-07-11,6,Monday,52.0,Morning,Average Ride
1816,City,14,Trip Completed,2016-07-12 09:24:00,2016-07-12 10:07:00,2016-07-12,9,Tuesday,43.0,Morning,Short Ride
2505,Airport,14,Trip Completed,2016-07-12 21:03:00,2016-07-12 22:14:00,2016-07-12,21,Tuesday,71.0,Night,Long Ride
3346,City,14,Trip Completed,2016-07-13 13:01:42,2016-07-13 13:55:59,2016-07-13,13,Wednesday,54.28333333333333,Afternoon,Average Ride
5294,City,14,Trip Completed,2016-07-14 21:45:50,2016-07-14 22:16:40,2016-07-14,21,Thursday,30.833333333333332,Night,Short Ride
6226,Airport,14,Trip Completed,2016-07-15 17:34:25,2016-07-15 18:33:13,2016-07-15,17,Friday,58.8,Evening,Average Ride
6733,Airport,14,Trip Completed,2016-07-15 23:32:44,2016-07-16 00:37:46,2016-07-15,23,Friday,65.03333333333333,Night,Long Ride
1027,Airport,15,Trip Completed,2016-07-11 19:18:00,2016-07-11 20:24:00,2016-07-11,19,Monday,66.0,Evening,Long Ride
2675,Airport,15,Trip Completed,2016-07-12 23:43:00,2016-07-13 00:35:12,2016-07-12,23,Tuesday,52.2,Night,Average Ride
3200,City,15,Trip Completed,2016-07-13 09:39:44,2016-07-13 10:30:58,2016-07-13,9,Wednesday,51.233333333333334,Morning,Average Ride
3865,City,15,Trip Completed,2016-07-13 21:52:05,2016-07-13 22:21:15,2016-07-13,21,Wednesday,29.166666666666668,Night,Short Ride
4468,City,15,Trip Completed,2016-07-14 08:42:46,2016-07-14 09:22:01,2016-07-14,8,Thursday,39.25,Morning,Short Ride
5163,Airport,15,Trip Completed,2016-07-14 20:34:30,2016-07-14 21:05:18,2016-07-14,20,Thursday,30.8,Evening,Short Ride
6009,City,15,Trip Completed,2016-07-15 12:22:35,2016-07-15 13:25:27,2016-07-15,12,Friday,62.86666666666667,Afternoon,Long Ride
6448,Airport,15,Trip Completed,2016-07-15 20:02:54,2016-07-15 20:40:45,2016-07-15,20,Friday,37.85,Evening,Short Ride
591,City,16,Trip Completed,2016-07-11 11:25:00,2016-07-11 12:31:00,2016-07-11,11,Monday,66.0,Morning,Long Ride
709,City,16,Trip Completed,2016-07-11 14:16:00,2016-07-11 15:03:00,2016-07-11,14,Monday,47.0,Afternoon,Average Ride
1167,Airport,16,Trip Completed,2016-07-11 20:50:00,2016-07-11 21:52:00,2016-07-11,20,Monday,62.0,Evening,Long Ride
2661,Airport,16,Trip Completed,2016-07-12 23:23:00,2016-07-13 00:27:21,2016-07-12,23,Tuesday,64.35,Night,Long Ride
2808,City,16,Trip Completed,2016-07-13 05:05:16,2016-07-13 05:56:11,2016-07-13,5,Wednesday,50.916666666666664,Morning,Average Ride
3258,Airport,16,Trip Completed,2016-07-13 10:12:51,2016-07-13 10:45:28,2016-07-13,10,Wednesday,32.61666666666667,Morning,Short Ride
3413,Airport,16,Trip Completed,2016-07-13 15:32:01,2016-07-13 16:45:44,2016-07-13,15,Wednesday,73.71666666666667,Afternoon,Long Ride
3939,Airport,16,Trip Completed,2016-07-13 22:26:26,2016-07-13 22:55:54,2016-07-13,22,Wednesday,29.466666666666665,Night,Short Ride
4125,City,16,Trip Completed,2016-07-14 04:37:11,2016-07-14 05:46:29,2016-07-14,4,Thursday,69.3,Late Night,Long Ride
4457,City,16,Trip Completed,2016-07-14 08:36:24,2016-07-14 09:19:20,2016-07-14,8,Thursday,42.93333333333333,Morning,Short Ride
4728,City,16,Trip Completed,2016-07-14 14:04:13,2016-07-14 15:06:40,2016-07-14,14,Thursday,62.45,Afternoon,Long Ride
5347,Airport,16,Trip Completed,2016-07-14 22:51:47,2016-07-14 23:53:42,2016-07-14,22,Thursday,61.916666666666664,Night,Long Ride
6147,City,16,Trip Completed,2016-07-15 16:11:02,2016-07-15 17:30:08,2016-07-15,16,Friday,79.1,Afternoon,Long Ride
6496,Airport,16,Trip Completed,2016-07-15 20:33:00,2016-07-15 21:32:49,2016-07-15,20,Friday,59.81666666666667,Evening,Average Ride
634,City,17,Trip Completed,2016-07-11 12:25:00,2016-07-11 13:06:00,2016-07-11,12,Monday,41.0,Afternoon,Short Ride
939,Airport,17,Trip Completed,2016-07-11 18:25:00,2016-07-11 19:26:00,2016-07-11,18,Monday,61.0,Evening,Long Ride
2628,Airport,17,Trip Completed,2016-07-12 22:10:00,2016-07-12 23:25:00,2016-07-12,22,Tuesday,75.0,Night,Long Ride
3021,City,17,Trip Completed,2016-07-13 07:33:20,2016-07-13 08:26:07,2016-07-13,7,Wednesday,52.78333333333333,Morning,Average Ride
4743,City,17,Trip Completed,2016-07-14 14:54:16,2016-07-14 15:39:03,2016-07-14,14,Thursday,44.78333333333333,Afternoon,Short Ride
4981,City,17,Trip Completed,2016-07-14 18:47:42,2016-07-14 19:43:44,2016-07-14,18,Thursday,56.03333333333333,Evening,Average Ride
5367,Airport,17,Trip Completed,2016-07-14 23:35:34,2016-07-15 00:25:26,2016-07-14,23,Thursday,49.86666666666667,Night,Average Ride
5471,Airport,17,Trip Completed,2016-07-15 04:48:57,2016-07-15 05:47:13,2016-07-15,4,Friday,58.266666666666666,Late Night,Average Ride
5988,Airport,17,Trip Completed,2016-07-15 11:48:32,2016-07-15 12:55:02,2016-07-15,11,Friday,66.5,Morning,Long Ride
6477,Airport,17,Trip Completed,2016-07-15 20:21:26,2016-07-15 21:00:31,2016-07-15,20,Friday,39.083333333333336,Evening,Short Ride
499,City,18,Trip Completed,2016-07-11 09:39:00,2016-07-11 10:16:00,2016-07-11,9,Monday,37.0,Morning,Short Ride
1147,Airport,18,Trip Completed,2016-07-11 20:42:00,2016-07-11 21:18:00,2016-07-11,20,Monday,36.0,Evening,Short Ride
1410,Airport,18,Trip Completed,2016-07-12 03:14:00,2016-07-12 04:27:00,2016-07-12,3,Tuesday,73.0,Late Night,Long Ride
1804,Airport,18,Trip Completed,2016-07-12 09:12:00,2016-07-12 09:57:00,2016-07-12,9,Tuesday,45.0,Morning,Average Ride
1949,Airport,18,Trip Completed,2016-07-12 11:32:00,2016-07-12 12:13:00,2016-07-12,11,Tuesday,41.0,Morning,Short Ride
2713,City,18,Trip Completed,2016-07-13 01:46:42,2016-07-13 02:37:08,2016-07-13,1,Wednesday,50.43333333333333,Late Night,Average Ride
2845,City,18,Trip Completed,2016-07-13 05:28:29,2016-07-13 06:10:40,2016-07-13,5,Wednesday,42.18333333333333,Morning,Short Ride
3943,Airport,18,Trip Completed,2016-07-13 22:35:38,2016-07-13 23:33:20,2016-07-13,22,Wednesday,57.7,Night,Average Ride
4792,City,18,Trip Completed,2016-07-14 16:47:15,2016-07-14 17:34:39,2016-07-14,16,Thursday,47.4,Afternoon,Average Ride
5207,Airport,18,Trip Completed,2016-07-14 20:57:41,2016-07-14 21:56:21,2016-07-14,20,Thursday,58.666666666666664,Evening,Average Ride
5890,City,18,Trip Completed,2016-07-15 09:43:57,2016-07-15 10:55:22,2016-07-15,9,Friday,71.41666666666667,Morning,Long Ride
494,City,19,Trip Completed,2016-07-11 09:36:00,2016-07-11 10:02:00,2016-07-11,9,Monday,26.0,Morning,Short Ride
1485,City,19,Trip Completed,2016-07-12 05:21:00,2016-07-12 06:35:00,2016-07-12,5,Tuesday,74.0,Morning,Long Ride
2042,City,19,Trip Completed,2016-07-12 14:30:00,2016-07-12 15:09:00,2016-07-12,14,Tuesday,39.0,Afternoon,Short Ride
2561,Airport,19,Trip Completed,2016-07-12 21:29:00,2016-07-12 22:44:00,2016-07-12,21,Tuesday,75.0,Night,Long Ride
3813,Airport,19,Trip Completed,2016-07-13 21:06:57,2016-07-13 21:46:24,2016-07-13,21,Wednesday,39.45,Night,Short Ride
4260,Airport,19,Trip Completed,2016-07-14 06:11:51,2016-07-14 06:59:46,2016-07-14,6,Thursday,47.916666666666664,Morning,Average Ride
4395,City,19,Trip Completed,2016-07-14 08:00:15,2016-07-14 08:54:39,2016-07-14,8,Thursday,54.4,Morning,Average Ride
5919,City,19,Trip Completed,2016-07-15 10:03:42,2016-07-15 10:59:27,2016-07-15,10,Friday,55.75,Morning,Average Ride
6002,Airport,19,Trip Completed,2016-07-15 12:04:15,2016-07-15 12:53:36,2016-07-15,12,Friday,49.35,Afternoon,Average Ride
468,City,20,Trip Completed,2016-07-11 09:20:00,2016-07-11 10:05:00,2016-07-11,9,Monday,45.0,Morning,Average Ride
693,Airport,20,Trip Completed,2016-07-11 13:51:00,2016-07-11 15:01:00,2016-07-11,13,Monday,70.0,Afternoon,Long Ride
1178,City,20,Trip Completed,2016-07-11 21:05:00,2016-07-11 22:06:00,2016-07-11,21,Monday,61.0,Night,Long Ride
2103,City,20,Trip Completed,2016-07-12 16:08:00,2016-07-12 17:18:00,2016-07-12,16,Tuesday,70.0,Afternoon,Long Ride
2292,Airport,20,Trip Completed,2016-07-12 18:46:00,2016-07-12 19:23:00,2016-07-12,18,Tuesday,37.0,Evening,Short Ride
3339,City,20,Trip Completed,2016-07-13 12:40:58,2016-07-13 13:30:26,2016-07-13,12,Wednesday,49.46666666666667,Afternoon,Average Ride
3694,City,20,Trip Completed,2016-07-13 19:33:19,2016-07-13 20:35:08,2016-07-13,19,Wednesday,61.81666666666667,Evening,Long Ride
4469,City,20,Trip Completed,2016-07-14 08:45:13,2016-07-14 09:48:08,2016-07-14,8,Thursday,62.916666666666664,Morning,Long Ride
6432,City,20,Trip Completed,2016-07-15 19:50:57,2016-07-15 20:30:05,2016-07-15,19,Friday,39.13333333333333,Evening,Short Ride
1895,City,21,Trip Completed,2016-07-12 10:20:00,2016-07-12 10:52:00,2016-07-12,10,Tuesday,32.0,Morning,Short Ride
1981,Airport,21,Trip Completed,2016-07-12 12:23:00,2016-07-12 12:56:00,2016-07-12,12,Tuesday,33.0,Afternoon,Short Ride
